RachisFW;PetiolFW;RachisLength;PetioleLength;WidthC;ThickC
2940;2166;536;102;6.5;3.4
3186;2169;550;110;6.5;3
2952;2021;552;104;6.5;3.5
2646;2854;515;126;6.6;2.6
2496;2988;497;137;6.4;3.9
2076;2426;467;123;6.3;3
2173;2667;472;125;6;3
2552;2274;511;118;6;3
2505;2013;506;107;6;3
2229;3072;421;140;5;3.2
1558;2347;432;127;5.7;2.5
2522;1253;530;78;6.8;3
2446;1828;518;106;6.8;3.8
2198;2193;524;120;5.5;3.3
2730;2208;483;127;6.4;3.3
2408;1938;518;113;5.8;3.5
2296;2778;520;112;6.3;3
2098;2928;510;141;6;3
2198;2353;505;130;6.4;3.1
2208;2586;490;135;6.7;3.4
2263;2278;510;126;5.7;3.4
2482;2678;508;130;6.1;3.3
2325;3086;477;137;6.4;3.5
2188;3289;482;143;6;3
1774;2498;452;127;6;3
3786;2367;600;120;6.8;3.8
3712;2913;590;143;6.8;3.8
4232;2281;664;94;7;3.5
3328;2921;570;138;7;3.8
2979;2841;542;138;7;3.5
2862;2707;520;136;6.5;3.5
2520;2462;490;128;6;3.8
2405;2541;497;132;6.4;3.8
3786;1898;488;69.5;8.5;4
2530;2432;498;117;6.2;3.8
3037;2771;553;126.5;6.5;3.5
3744;3406;528;141;7;3.5
2779;3864;514;146;6.5;3.8
1247;2621;455;136;6.1;3
3515;1609;556;82;6.5;4
2782;2018;552;114;6.8;3.2
3112;2655;548;120;6.2;3.8
3062;2583;535;126;6;4
2943;2969;524;125;6;4.2
2802;2713;494;134;6;3.5
2479;3187;468;136;4.5;3.6
2454;2977;488;125;6;3.5
3146;2304;486;68;7;4
2113;3204;520;131;6;3.8
2507;3707;462;135;6.5;3.5
2050;2854;448;122;6;4.2
2803;1916;516;116;6.5;3.2
2590;2183;519;119;6.5;3.2
2658;2076;508;122;6;3.4
2780;2315;498;118;6;3.4
2507;2367;516;139;6;3.5
2840;2690;504;135;6;4
2754;2850;482;126;6.2;3
2745;2770;492;142;6;3.2
2369;2921;529;147;6;3
2652;2856;497;136;5.8;3
2454;2914;529;148;6.5;3
2573;3291;538;148;5.5;3
2413;3361;542;155;6.5;3.5
2019;2709;546;146;5.1;3
1281;908;746;127;5.3;3
3008;2788;555;116;6.5;3.5
3088;2903;560;114;7;3.5
3603;3683;578;124;6.5;3.5
3733;2703;554;113;6;3.5
3203;3063;549;134;7;3.5
3088;3388;528;141;7;3.5
3008;3396;513;135;7;3.5
3046;3029;550;125;7.5;3.5
3988;3698;536;134;7.5;3.5
3588;3808;535;135;7;3.5
3709;3683;534;134;7;3.5
3008;3368;546;145;7;3.5
2868;3808;490;140;6.5;3
3915.5;2923.4;548;132;7;3.9
3824.6;4551.6;552;166;7;4
3615.8;3821.6;562;158;7;3.9
3128.6;4016.5;566;146;7;4
3216.5;4160.2;551;138;7;3.9
3166.2;4162.8;506;152;7;3.9
2618.5;3510.6;468;138;7;4
3516.6;3418;490;136;7;3.9
3488.6;3816.5;528;134;6.8;3.6
2168.5;3136.2;497;110;7;4
2514.3;3341.5;512;118;6;3.8
2516.2;3219.6;500;142;6;3.8
2566.3;3415.5;486;150;6;3.9
2318.5;3301.6;488;138;6;3.8
925.6;2081.8;460;143;5;3.3
1916.5;2569.6;451;146;6;3.4
2432;952;554;79;6;3.2
2838;909;603;75;6;3.3
2302;1409;564;106;5.5;3.2
2459;1179;543;85;6;3.5
2419;1648;524;106;6;3
2013;1256;546;94;5.7;3
2351;1638;535;110;6;3.4
2524;2251;555;133;6;4
2320;232;540;139;5.6;3
2439;2476;563;142;6.5;4.1
1848;2282;538;142;6;4
1464;1986;486;126;6;3.5
843;1683;456;115;5.3;3.5
3574;940;605;65;6.5;3.7
3240;1709;603;95;6.5;3.9
3140;1728;529;101;7;3.4
3000;1815;503;102;7;3.5
3009;2201;585;107;7;3.5
2941;2550;571;132;6.5;3.9
2636;2540;534;130;6;3.8
2581;2425;562;128;7;3.6
2647;2630;568;138;7;4
2810;2670;589;140;6;4
2757;2595;586;141;6.8;3.8
2909;3151;576;150;7;3.5
2386;3334;571;155;7;3.7
1848;2280;513;135;7;3.6
1669;1807;502;102;5.5;3.6
3573.3;2575.6;618;132;7;4
3446.2;3309.8;621;150;7;4.1
3336.5;3114.5;584;148;7;3.9
3501.8;3256.5;500;151;7;3.9
3661.8;3336.8;580;130;7;3.8
3202.8;2649.1;570;129;7;3.8
3230.2;3431.5;600;151;7;3.8
3281.8;3534.3;547;152;7;3.8
3193.6;3914.5;554;142;7;3.8
3216.5;3667.6;570;146;6.8;3.6
3092.6;3295.6;464;150;7;3.9
2516.5;4069.3;545;156;6;3.8
2346.5;2916.3;497;138;6;3.8
2129;2862.8;451;149;6;3.6
3031;1361;596;107;7.2;3.5
2707;1851;586;110;6.1;3.2
2813;1231;574;87;6.5;3.2
2643;1303;573;93;6.7;3.3
2452;1537;580;153;6.5;3.4
2631;1921;565;115;6.8;3.5
2760;2313;569;129;6.7;3.6
2681;2611;566;140;6.5;3.8
2621;2558;562;135;6.1;3.7
2812;2800;598;145;6.3;3.8
2643;2931;568;150;7.1;3.5
2658;2911;571;142;7.1;4
2278;2813;558;138;6.2;3.6
3601.5;1979.6;545;90;7;4
3468.1;3136.6;564;126;7;4
3263;2792.1;575;136;7;3.9
3328.6;3438.2;563;133;7;3.9
3091.6;3615.6;580.6;142;7;3.8
3154.1;3684.5;564;148;7;3.8
3166.5;3159.2;546;130;7;3.9
3120.2;3690.6;548;132;7;3.8
2846.6;3418.6;560.4;148;7;3.9
3122.3;3614.8;548;148;7;3.6
2841.6;4062.8;541;171.6;6;3.8
2924.6;4017;528;160;7;3.8
2449.7;4162.5;518.2;169.4;7;3.9
1846.2;2770.6;487;148;6;3.8
3546;3359;538;148;7.2;4
3361;3565;548;144;7;4
3310;3489;551;149;7;4.2
3588;3828;554;152;7;4
3364;2149;556;160;9;4
3358;3287;558;132;7;4
3564;3984;554;147;7;3.8
3316;4435;548;157;7;4
4043;3283;553;158;9;4.2
3202;3728;538;144;6.8;4
