RachisFW;PetiolFW;RachisLength;PetioleLength;WidthC;ThickC
1876.6;2138.7;484;152;7;3.9
1961.5;2420.6;480;143;6.8;3.8
1964.6;2561.6;466;148;6;3.8
2016.5;2615.6;523;152;6;3.5
1786.2;2254.3;475;140;6;3.6
1584.8;1950;432;129;6;3.8
1766.5;1729.6;518;136;6;3.6
1321.6;1961.5;433;137;5;3.6
3011.6;1562.6;496;94;6;3.8
2816.6;2041.6;489;102;7;3.9
2916.5;2962.5;501;120;7;3.8
2789.1;2491.6;485;114;7;3.8
2916.6;3155.6;517;118;7;3.9
2855.5;3052.6;535;116;7;3.8
2517.6;2801.6;540;120;7;4
2518.6;3317.1;512;146;7;4.1
2866.2;3166.2;505;152;7;3.9
2004.6;2571.2;526;128;7;3.9
2214.5;2514.4;684;131;7;3.8
2316.5;2766.2;523;128;7;3.8
2766.3;2865.1;517;142;6;3.8
2913;1418;514;82;6;3.7
2623;1949;503;95;4.5;3.2
2356;2118;507;116;6.5;4.1
2414;2280;520;114;6;4
2499;2484;513;126.5;6;3.5
2551;2722;516;122;6.5;4.3
2199;2328;513;115;6.3;4.2
2150;2688;520;126;6.5;4.3
2044;2927;498;139;6.4;4
1983;2527;481;128;6;4
1616;2306;475;157;6;3.9
1702;1923;504;120;5.3;3
1750;1554;492;132;6.5;4
1632;2186;452;131;6;4
3090.6;2091.4;526;188;6;4
3151.9;2001.6;508;124;7;4
2888.6;3094.3;504;130;7;4.2
2891.6;2905.2;502;120;6;3.8
2416.8;3006.1;528;124;6;3.6
2802.3;3060;532;128;7;4.2
2778.6;1608.8;518;142;5.8;3
2471.6;3427;524;131;6;4
2016.5;3461.1;516;128;6;4
1986.5;2734.6;500;139;7;3.8
1758;1978.2;478;134;6;3
1560.4;2063.3;467;123;5;3.6
1572.6;2204.6;305;131;6;3.2
1404.5;2182.9;418;103;6;3.2
1452.3;2913.2;426;133;5.8;3.5
1017.8;2001.1;404;110;5;3.8
3050;1384;495;76;7;4.2
2828;1709;493;81;7;4.1
2630;2385;495;108;7;3.5
2772;2567;490;106;7;4
2569;2268;492;115;7;4.1
2437;2257;480;107;7;3.9
2403;2494;503;113;6.5;4
2513;2659;490;117;6.5;3.8
2296;3044;486;145;6.5;4
2060;2523;494;120;6.5;4.3
2039;2481;482;133;6.2;4
1921;2363;480;132;6;3.7
1779;2225;484;141.6;6;3.9
1757;2260;455;127;6;3.7
2816;1904;420;113;6.3;4.1
1938;1748;425;103;5.3;4
2724.8;1773;472;102;7;3.9
2663.5;2263.8;488;120;7;3.8
2451.6;2630.9;487;120;7;3.6
2521.1;2542.3;482;121;7;3.8
2246.3;2613.6;438;128;7;3.8
2406.5;2516.4;420;122;6;3.6
2285;2445.3;470;138;6;3.4
2043.4;2691.6;481;133;6;3.6
2448.8;2001.8;472;130;6;3.2
1909.4;2319.8;504;122;6;3.6
1319.4;1954.2;428;108;6;3.4
2187;1030;545;70;6;3.5
2520;2296;489;126;6.5;4
2291;2335;487;121;6.3;4.2
2169;2453;485;127;6;3.2
1983;1736;495;133.8;6;3.5
2237;2480;505;127;6;3.9
2011;2607;495;135;6;4
1868;2575;463;133;6;4
1502;2434;459;132;6;3
1637;2404;411;133;5.8;4
1273;2006;424;102;5;3
1997;2135;485;118;5.5;3.5
1684;2488;455;130;6;3
1692;2861;475;135;6;3.8
1410;2223;422;124;5.7;3.5
2481.5;1751.6;538;106;6;3.6
2351.6;2551.6;545;128;6;3.7
2248.8;2421.2;478;115;6;4
2361.5;2621.1;512;126;6;3.5
2106.4;2216.5;474;120;6;3.6
1938.5;2166.4;482;124;6;3.8
1961.5;2261.5;461;125;6;3.7
1865.2;2551.6;450;129;6;3.6
1860.4;2617.3;426;129;6;3.4
1731.5;2360;431;126;5.6;3.4
1816.2;2332;456;126;6;3.4
2028.6;2112.8;493;132;6;4
1866.2;2241.3;491;137;6;3.6
1361.4;2854;455;137;5.2;3.6
1451.5;2215.3;420;125;5;3.1
2574;1548;481;107;6.8;3.5
2393;1941;510;106;6.6;3.8
2476;1952;520;110;6.6;3.5
2581;2158;505;115;6.5;3.5
2471;1581;517;122;6.3;3.4
2587;2228;531;120;7;4
2504;2527;535;130;7;3.5
2531;2992;545;136;6.5;3.5
2245;2618;519;138;6.3;3.6
2381;3067;514;152;6.2;3.1
2255;2517;458;138;6.2;3.2
1752;2543;466;134;6;3.2
2074.1;1279;407;82;6;3
2061.4;1575.5;492;89;6.2;3.2
2218.2;1675.2;503;95;6.4;3.2
2088.6;2026.1;489;119.7;6;4
2072.6;2022.3;485;110;6;3
1970.8;1954.8;492;109;6;3.5
2044.9;2405;489;124;6;3
1848.2;2407.6;477;124.8;7;4
1810.8;2357.4;480;128;6;3.2
1728.2;2410.7;471;132.5;6;3
1739.5;2188.7;486;127;5.9;3
1577.4;2103.9;478;121;5.5;3.1
1424.8;1844.3;421;112;5;3
2747.6;2088.6;491;100;7.2;4.3
2721.6;2615;488;109;7;4.1
2655.6;2916.5;453;112;7;4
2416.5;3066.2;482;116;7;4.1
2653.6;2474.5;468;98;7;3.8
2766.5;3016.5;476;106;7;3.9
2961.5;3216;468;112;7;3.9
2464.9;3067.9;446;112;7;3.9
2650.6;3616.5;436;119;7;3.9
2566.1;3216.5;455;118;7;3.9
2366.2;3266.2;456.8;131.2;7;3.8
2206.5;3166.5;442;116;6;3.9
1786.6;2466;452;114;6;4
3685.6;1930.2;514;82;7.5;4
3331.7;2641.3;518;113;6.4;4
1883.4;2841.1;520;124;6;5
3344.3;2742.6;498;99;6;4
2591.3;2930.6;486;119;6;3
2742.8;2455.8;491;122;6.1;3.5
2847.1;3179.2;504;128;6;3.2
2801.3;2590.3;489;121;6;3.4
2649.4;3678.4;491;140;6.2;3.6
2150.2;3357.1;486;145;6.4;4
2481.2;3745.6;489;130;6;4
1809.2;2472.2;491;126;6;4
2072.2;2651.4;486;138;6.2;3.8
1942.2;2781.6;482;141;6;3.6
2408;1448;446;89;5.8;3.6
2048;2048;450;105;6.1;3.5
2193;1930;460;106;6;3.4
2083;2662;461;131;5.2;3.1
2153;2145;468;119;6;3.1
2446;2285;451;123;7;3.5
2042;2647;435;130;6.8;3.6
1784;2510;448;121;6.2;3.4
1853;2490;424;125;6.8;3.6
1783;2415;510;107;6.4;3.4
2109;2728;515;130;5.8;3.6
1475;2397;448;127;5.8;3.5
2490;1883;470;114;6.8;3.8
2450;2983;450;143;6.8;3.5
2098;2647;443;118;6.8;3.2
2517;2467;490;117;7;4
2349;2398;500;113;7;3.8
2444;3161;484;135;7;4
1669;3352;475;145;7;4
2039;3032;503;130;6;3.5
2254;2410;515.6;141.6;6;3.8
2086;2575;475;134;6;3
